driver_race	location_variable	num_stops	num_searches	num_hits	state	city	county
Hispanic	302	121	34	8	CA	San_Diego	San_Diego
Hispanic	303	138	47	7	CA	San_Diego	San_Diego
Hispanic	304	43	12	4	CA	San_Diego	San_Diego
Hispanic	305	364	82	28	CA	San_Diego	San_Diego
Hispanic	306	546	121	23	CA	San_Diego	San_Diego
Hispanic	307	193	37	8	CA	San_Diego	San_Diego
Hispanic	308	289	53	16	CA	San_Diego	San_Diego
Hispanic	309	57	18	2	CA	San_Diego	San_Diego
Hispanic	310	165	54	7	CA	San_Diego	San_Diego
Hispanic	311	84	20	5	CA	San_Diego	San_Diego
Hispanic	312	110	35	4	CA	San_Diego	San_Diego
Hispanic	313	87	8	3	CA	San_Diego	San_Diego
Hispanic	314	70	19	4	CA	San_Diego	San_Diego
Hispanic	315	104	21	4	CA	San_Diego	San_Diego
Hispanic	316	66	27	10	CA	San_Diego	San_Diego
Hispanic	317	46	6	0	CA	San_Diego	San_Diego
Hispanic	318	38	12	3	CA	San_Diego	San_Diego
Hispanic	319	44	20	12	CA	San_Diego	San_Diego
Hispanic	321	1	0	0	CA	San_Diego	San_Diego
Hispanic	323	14	6	0	CA	San_Diego	San_Diego
Hispanic	324	4	3	1	CA	San_Diego	San_Diego
Hispanic	325	8	1	1	CA	San_Diego	San_Diego
Hispanic	326	15	5	1	CA	San_Diego	San_Diego
Hispanic	327	4	2	2	CA	San_Diego	San_Diego
Hispanic	328	16	3	0	CA	San_Diego	San_Diego
Hispanic	329	3	2	0	CA	San_Diego	San_Diego
Hispanic	330	6	2	0	CA	San_Diego	San_Diego
Hispanic	331	23	8	1	CA	San_Diego	San_Diego
Hispanic	332	17	6	1	CA	San_Diego	San_Diego
Hispanic	333	29	9	1	CA	San_Diego	San_Diego
Hispanic	349	58	5	2	CA	San_Diego	San_Diego
Hispanic	350	324	96	9	CA	San_Diego	San_Diego
Hispanic	351	163	33	10	CA	San_Diego	San_Diego
Hispanic	352	143	15	2	CA	San_Diego	San_Diego
Hispanic	353	66	20	3	CA	San_Diego	San_Diego
Hispanic	354	77	30	8	CA	San_Diego	San_Diego
Hispanic	355	268	65	16	CA	San_Diego	San_Diego
Hispanic	356	155	44	3	CA	San_Diego	San_Diego
Hispanic	357	213	60	16	CA	San_Diego	San_Diego
Hispanic	358	122	10	2	CA	San_Diego	San_Diego
Hispanic	359	104	19	1	CA	San_Diego	San_Diego
Hispanic	360	99	18	3	CA	San_Diego	San_Diego
Hispanic	361	66	3	1	CA	San_Diego	San_Diego
Hispanic	362	5	1	1	CA	San_Diego	San_Diego
Hispanic	363	12	0	0	CA	San_Diego	San_Diego
Hispanic	364	6	1	0	CA	San_Diego	San_Diego
Hispanic	365	4	2	1	CA	San_Diego	San_Diego
Hispanic	366	4	0	0	CA	San_Diego	San_Diego
Hispanic	367	6	4	0	CA	San_Diego	San_Diego
Hispanic	371	6	2	0	CA	San_Diego	San_Diego
Hispanic	373	50	3	1	CA	San_Diego	San_Diego
Hispanic	375	8	3	0	CA	San_Diego	San_Diego
Hispanic	376	6	1	0	CA	San_Diego	San_Diego
Hispanic	377	2	2	2	CA	San_Diego	San_Diego
Hispanic	378	9	3	1	CA	San_Diego	San_Diego
Hispanic	379	2	1	0	CA	San_Diego	San_Diego
Hispanic	380	2	1	0	CA	San_Diego	San_Diego
Hispanic	381	115	45	19	CA	San_Diego	San_Diego
Hispanic	382	85	19	6	CA	San_Diego	San_Diego
Hispanic	383	18	7	1	CA	San_Diego	San_Diego
Hispanic	384	92	22	6	CA	San_Diego	San_Diego
Hispanic	385	75	22	3	CA	San_Diego	San_Diego
Hispanic	386	11	2	0	CA	San_Diego	San_Diego
Hispanic	387	8	1	0	CA	San_Diego	San_Diego
Hispanic	388	27	2	1	CA	San_Diego	San_Diego
Hispanic	389	13	6	3	CA	San_Diego	San_Diego
Hispanic	390	30	10	2	CA	San_Diego	San_Diego
Hispanic	391	10	1	1	CA	San_Diego	San_Diego
Hispanic	392	9	0	0	CA	San_Diego	San_Diego
Hispanic	393	35	12	4	CA	San_Diego	San_Diego
Hispanic	394	2	0	0	CA	San_Diego	San_Diego
Hispanic	395	2	0	0	CA	San_Diego	San_Diego
Hispanic	396	39	3	1	CA	San_Diego	San_Diego
Hispanic	397	1	1	0	CA	San_Diego	San_Diego
Hispanic	398	3	0	0	CA	San_Diego	San_Diego
Hispanic	401	2	0	0	CA	San_Diego	San_Diego
Hispanic	402	6	0	0	CA	San_Diego	San_Diego
Hispanic	404	4	0	0	CA	San_Diego	San_Diego
Hispanic	405	1	0	0	CA	San_Diego	San_Diego
Hispanic	406	85	1	0	CA	San_Diego	San_Diego
Hispanic	407	10	1	0	CA	San_Diego	San_Diego
Hispanic	408	4	1	0	CA	San_Diego	San_Diego
Hispanic	409	5	0	0	CA	San_Diego	San_Diego
Hispanic	410	183	12	1	CA	San_Diego	San_Diego
Hispanic	411	98	5	1	CA	San_Diego	San_Diego
Hispanic	412	38	1	0	CA	San_Diego	San_Diego
Hispanic	413	71	0	0	CA	San_Diego	San_Diego
Hispanic	414	27	3	2	CA	San_Diego	San_Diego
Hispanic	415	200	14	2	CA	San_Diego	San_Diego
Hispanic	416	76	4	2	CA	San_Diego	San_Diego
Hispanic	417	25	4	0	CA	San_Diego	San_Diego
Hispanic	418	2	0	0	CA	San_Diego	San_Diego
Hispanic	419	19	3	0	CA	San_Diego	San_Diego
Hispanic	422	1	0	0	CA	San_Diego	San_Diego
Hispanic	423	3	0	0	CA	San_Diego	San_Diego
Hispanic	424	35	0	0	CA	San_Diego	San_Diego
Hispanic	430	147	75	12	CA	San_Diego	San_Diego
Hispanic	431	37	14	3	CA	San_Diego	San_Diego
Hispanic	434	1	1	0	CA	San_Diego	San_Diego
Hispanic	435	94	39	7	CA	San_Diego	San_Diego
Hispanic	436	51	16	2	CA	San_Diego	San_Diego
Hispanic	437	4	3	1	CA	San_Diego	San_Diego
Hispanic	438	9	7	1	CA	San_Diego	San_Diego
Hispanic	439	7	2	1	CA	San_Diego	San_Diego
Hispanic	440	2	0	0	CA	San_Diego	San_Diego
Hispanic	441	6	3	0	CA	San_Diego	San_Diego
Hispanic	443	1	0	0	CA	San_Diego	San_Diego
Hispanic	502	14	3	1	CA	San_Diego	San_Diego
Hispanic	503	19	2	0	CA	San_Diego	San_Diego
Hispanic	504	6	1	0	CA	San_Diego	San_Diego
Hispanic	505	3	0	0	CA	San_Diego	San_Diego
Hispanic	507	26	6	0	CA	San_Diego	San_Diego
Hispanic	508	16	1	0	CA	San_Diego	San_Diego
Hispanic	509	21	0	0	CA	San_Diego	San_Diego
Hispanic	510	35	4	1	CA	San_Diego	San_Diego
Hispanic	511	52	3	0	CA	San_Diego	San_Diego
Hispanic	512	13	1	1	CA	San_Diego	San_Diego
Hispanic	513	182	38	17	CA	San_Diego	San_Diego
Hispanic	514	102	18	4	CA	San_Diego	San_Diego
Hispanic	515	18	7	2	CA	San_Diego	San_Diego
Hispanic	516	68	7	1	CA	San_Diego	San_Diego
Hispanic	518	229	15	2	CA	San_Diego	San_Diego
Hispanic	519	220	23	6	CA	San_Diego	San_Diego
Hispanic	520	45	5	0	CA	San_Diego	San_Diego
Hispanic	521	7	2	0	CA	San_Diego	San_Diego
Hispanic	522	12	2	0	CA	San_Diego	San_Diego
Hispanic	523	18	3	0	CA	San_Diego	San_Diego
Hispanic	524	11	3	0	CA	San_Diego	San_Diego
Hispanic	525	9	3	0	CA	San_Diego	San_Diego
Hispanic	526	10	1	0	CA	San_Diego	San_Diego
Hispanic	527	11	1	0	CA	San_Diego	San_Diego
Hispanic	528	126	24	6	CA	San_Diego	San_Diego
Hispanic	529	85	18	4	CA	San_Diego	San_Diego
Hispanic	530	31	9	1	CA	San_Diego	San_Diego
Hispanic	531	38	6	2	CA	San_Diego	San_Diego
Hispanic	532	26	10	5	CA	San_Diego	San_Diego
Hispanic	533	167	42	5	CA	San_Diego	San_Diego
Hispanic	534	5	0	0	CA	San_Diego	San_Diego
Hispanic	539	1	0	0	CA	San_Diego	San_Diego
Hispanic	540	1	0	0	CA	San_Diego	San_Diego
Hispanic	551	108	15	7	CA	San_Diego	San_Diego
Hispanic	552	28	8	2	CA	San_Diego	San_Diego
Hispanic	553	63	7	3	CA	San_Diego	San_Diego
Hispanic	554	128	25	6	CA	San_Diego	San_Diego
Hispanic	555	7	2	1	CA	San_Diego	San_Diego
Hispanic	556	51	13	2	CA	San_Diego	San_Diego
Hispanic	557	78	23	4	CA	San_Diego	San_Diego
Hispanic	558	21	4	1	CA	San_Diego	San_Diego
Hispanic	559	16	3	2	CA	San_Diego	San_Diego
Hispanic	560	4	0	0	CA	San_Diego	San_Diego
Hispanic	561	14	0	0	CA	San_Diego	San_Diego
Hispanic	563	5	2	0	CA	San_Diego	San_Diego
Hispanic	564	1	0	0	CA	San_Diego	San_Diego
Hispanic	601	96	33	4	CA	San_Diego	San_Diego
Hispanic	602	309	84	15	CA	San_Diego	San_Diego
Hispanic	603	127	28	8	CA	San_Diego	San_Diego
Hispanic	604	56	19	4	CA	San_Diego	San_Diego
Hispanic	605	16	2	0	CA	San_Diego	San_Diego
Hispanic	606	32	12	2	CA	San_Diego	San_Diego
Hispanic	607	37	16	3	CA	San_Diego	San_Diego
Hispanic	609	8	2	0	CA	San_Diego	San_Diego
Hispanic	610	3	0	0	CA	San_Diego	San_Diego
Hispanic	611	9	2	0	CA	San_Diego	San_Diego
Hispanic	613	5	1	0	CA	San_Diego	San_Diego
