driver_race	location_variable	num_stops	num_searches	num_hits
Hispanic	705	74	13	2
Hispanic	706	300	65	22
Hispanic	707	32	4	2
Hispanic	708	9	1	0
Hispanic	709	35	5	1
Hispanic	710	137	28	5
Hispanic	711	1	0	0
Hispanic	720	41	7	1
Hispanic	721	81	9	1
Hispanic	722	36	3	0
Hispanic	724	8	3	1
Hispanic	726	3	0	0
Hispanic	727	16	2	1
Hispanic	728	27	9	1
Hispanic	801	5	1	0
Hispanic	802	2	2	0
Hispanic	803	3	0	0
Hispanic	804	50	22	4
Hispanic	805	5	0	0
Hispanic	807	12	4	0
Hispanic	808	25	3	0
Hispanic	809	27	5	0
Hispanic	811	1	0	0
Hispanic	812	19	2	0
Hispanic	813	9	0	0
Hispanic	814	71	11	3
Hispanic	815	7	2	0
Hispanic	816	48	8	2
Hispanic	817	35	10	3
Hispanic	818	21	4	1
Hispanic	819	11	2	1
Hispanic	820	16	0	0
Hispanic	821	1	0	0
Hispanic	826	1	0	0
Hispanic	827	4	1	0
Hispanic	828	14	0	0
Hispanic	832	3	1	0
Hispanic	834	1	0	0
Hispanic	841	2	0	0
Hispanic	842	30	10	2
Hispanic	843	1	0	0
Hispanic	850	29	1	0
Hispanic	851	1	0	0
Hispanic	852	13	0	0
Hispanic	853	6	1	1
Hispanic	855	22	1	1
Hispanic	856	1	0	0
Hispanic	870	4	2	0
Hispanic	871	5	0	0
Hispanic	873	3	0	0
Hispanic	874	2	0	0
Hispanic	876	5	2	0
Hispanic	877	59	10	6
Hispanic	878	138	5	0
Hispanic	879	21	2	1
Hispanic	880	26	3	0
Hispanic	881	8	1	0
Hispanic	882	1	0	0
Hispanic	884	22	1	1
Hispanic	885	4	0	0
Hispanic	999	"6	096"	"1	209"	257
White	0	52	15	3
White	1	185	19	5
White	2	84	13	5
White	3	16	0	0
White	4	125	48	16
White	5	166	56	12
White	6	63	12	4
White	7	40	5	0
White	8	274	76	12
White	9	703	81	19
White	11	13	7	0
White	41	3	0	0
